FullName NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
27 AmeliaHorne 1011.55742385018 1011.55742385018 1011.55742385018 1011.55742385018 1011.55742385018 1196.65862365963 1196.65862365963 1196.65862365963 1196.65862365963 1196.65862365963 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
28 AmosPlumpton 1037.008838824 1037.008838824 1037.008838824 1037.008838824 1037.008838824 1222.11003863339 1222.11003863339 1222.11003863339 1222.11003863339 1222.11003863339 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
29 AndreaKnowles NA NA NA NA NA NA NA NA NA NA 866.421255817798 NA NA 925.737776665819 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
30 AndreiPopovici 1123.24917055338 1123.24917055338 1123.24917055338 1123.24917055338 1123.24917055338 1308.35037036281 1308.35037036281 1308.35037036281 1308.35037036281 1308.35037036281 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1234.87390749931 1255.52536602945 NA NA NA
31 AndrewBell 919.848193035518 919.848193035518 919.848193035518 919.848193035518 919.848193035518 1104.94939284496 1104.94939284496 1104.94939284496 1104.94939284496 1104.94939284496 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
32 AndrewCameron NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1181.3149387722 1164.23172341936 NA NA 1079.29770124287
33 AndrewdeL'isle 945.299608009314 945.299608009314 945.299608009314 945.299608009314 945.299608009314 1130.40080781873 1130.40080781873 1130.40080781873 1130.40080781873 1130.40080781873 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
34 AndrewJohnstone 1034.27438928135 1034.27438928135 1034.27438928135 1034.27438928135 1034.27438928135 1219.37558909077 1219.37558909077 1219.37558909077 1219.37558909077 1219.37558909077 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
35 AndrewKerr NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1210.65832078753 1164.99360918062 1181.42582440157
36 AndrewPealing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1043.31910699932 NA NA NA NA NA NA NA
37 AndrewPeat NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1236.51848430039 NA NA NA NA NA NA NA NA NA NA NA NA
