Name,Minutes,Rank,Current
NickHann,57.3,7236,1447.2
ChrisForne,58.5,7152,1430.4
AlistairRichardson,62.1,6995,1399
AaronPrince,70.9,,
StephenHarding,71.25,6728,1345.6
CallumHill,72,6568,1313.6
JimCotter,72.9,,
TomSpencer,78.2,,
MattBixley,93.3,6316,1263.2
JonathanWood,115.8,5382,1076.4
